COMMAND     PID   USER   FD      TYPE             DEVICE    SIZE/OFF                NODE NAME
UserEvent   468 dwywdo  txt       REG                1,5       70704 1152921500312754271 /System/Library/UserEventPlugins/BluetoothUserAgent-Plugin.plugin/Contents/MacOS/BluetoothUserAgent-Plugin
UserEvent   468 dwywdo  txt       REG                1,5       40272 1152921500312649169 /System/Library/UserEventPlugins/BonjourEvents.plugin/Contents/MacOS/BonjourEvents
UserEvent   468 dwywdo  txt       REG                1,5       45936 1152921500312649133 /System/Library/UserEventPlugins/CaptiveUserAgent.plugin/Contents/MacOS/CaptiveUserAgent
UserEvent   468 dwywdo  txt       REG                1,5       48640 1152921500312649179 /System/Library/UserEventPlugins/EAPOLMonitor.plugin/Contents/MacOS/EAPOLMonitor
UserEvent   468 dwywdo  txt       REG                1,5       30544 1152921500312649307 /System/Library/UserEventPlugins/GSSNotificationForwarder.plugin/Contents/MacOS/GSSNotificationForwarder
UserEvent   468 dwywdo  txt       REG                1,5       39440 1152921500312649225 /System/Library/UserEventPlugins/PrinterMonitor.plugin/Contents/MacOS/PrinterMonitor
UserEvent   468 dwywdo  txt       REG                1,5       49264 1152921500312649343 /System/Library/UserEventPlugins/LocationMenu.plugin/Contents/MacOS/LocationMenu
UserEvent   468 dwywdo  txt       REG                1,5       49040 1152921500312754281 /System/Library/UserEventPlugins/SCMonitor.plugin/Contents/MacOS/SCMonitor
UserEvent   468 dwywdo  txt       REG                1,5       28208 1152921500312754299 /System/Library/UserEventPlugins/SystemPolicyEvents.plugin/Contents/MacOS/SystemPolicyEvents
UserEvent   468 dwywdo  txt       REG                1,5       34112 1152921500312649007 /System/Library/UserEventPlugins/com.apple.TimeMachine.plugin/Contents/MacOS/com.apple.TimeMachine
UserEvent   468 dwywdo  txt       REG                1,5       45552 1152921500312754208 /System/Library/UserEventPlugins/com.apple.alarm.plugin/Contents/MacOS/com.apple.alarm
UserEvent   468 dwywdo  txt       REG                1,5       34368 1152921500312754290 /System/Library/UserEventPlugins/com.apple.bonjour.plugin/Contents/MacOS/com.apple.bonjour
UserEvent   468 dwywdo  txt       REG                1,5       29920 1152921500312754262 /System/Library/UserEventPlugins/com.apple.cfnotification.plugin/Contents/MacOS/com.apple.cfnotification
UserEvent   468 dwywdo  txt       REG                1,5      117632 1152921500312754172 /System/Library/UserEventPlugins/com.apple.cts.plugin/Contents/MacOS/com.apple.cts
UserEvent   468 dwywdo  txt       REG                1,5       29360 1152921500312754163 /System/Library/UserEventPlugins/com.apple.diskarbitration.plugin/Contents/MacOS/com.apple.diskarbitration
UserEvent   468 dwywdo  txt       REG                1,5       29216 1152921500312754244 /System/Library/UserEventPlugins/com.apple.dispatch.vfs.plugin/Contents/MacOS/com.apple.dispatch.vfs
UserEvent   468 dwywdo  txt       REG                1,5       35344 1152921500312754317 /System/Library/UserEventPlugins/com.apple.fsevents.matching.plugin/Contents/MacOS/com.apple.fsevents.matching
UserEvent   468 dwywdo  txt       REG                1,5       33856 1152921500312649252 /System/Library/UserEventPlugins/com.apple.iokit.matching.plugin/Contents/MacOS/com.apple.iokit.matching
UserEvent   468 dwywdo  txt       REG                1,5       34048 1152921500312754190 /System/Library/UserEventPlugins/com.apple.launchd.helper.plugin/Contents/MacOS/com.apple.launchd.helper
UserEvent   468 dwywdo  txt       REG                1,5       33808 1152921500312649088 /System/Library/UserEventPlugins/com.apple.lockout.lifecycle.plugin/Contents/MacOS/com.apple.lockout.lifecycle
UserEvent   468 dwywdo  txt       REG                1,5       28384 1152921500312754308 /System/Library/UserEventPlugins/com.apple.notifyd.matching.plugin/Contents/MacOS/com.apple.notifyd.matching
UserEvent   468 dwywdo  txt       REG                1,5       98896 1152921500312649352 /System/Library/UserEventPlugins/com.apple.netsvcproxy.plugin/Contents/MacOS/com.apple.netsvcproxy
UserEvent   468 dwywdo  txt       REG                1,5       30016 1152921500312754235 /System/Library/UserEventPlugins/com.apple.nsurlsessiond.plugin/Contents/MacOS/com.apple.nsurlsessiond
UserEvent   468 dwywdo  txt       REG                1,5       28064 1152921500312649289 /System/Library/UserEventPlugins/com.apple.rapport.events.plugin/Contents/MacOS/com.apple.rapport.events
UserEvent   468 dwywdo  txt       REG                1,5       28688 1152921500312754253 /System/Library/UserEventPlugins/com.apple.reachability.plugin/Contents/MacOS/com.apple.reachability
UserEvent   468 dwywdo  txt       REG                1,5       54944 1152921500312649271 /System/Library/UserEventPlugins/com.apple.rcdevent.matching.plugin/Contents/MacOS/com.apple.rcdevent.matching
UserEvent   468 dwywdo  txt       REG                1,5       33568 1152921500312754226 /System/Library/UserEventPlugins/com.apple.remoteservicediscovery.events.plugin/Contents/MacOS/com.apple.remoteservicediscovery.events
UserEvent   468 dwywdo  txt       REG                1,5       29328 1152921500312754181 /System/Library/UserEventPlugins/com.apple.systemconfiguration.plugin/Contents/MacOS/com.apple.systemconfiguration
UserEvent   468 dwywdo  txt       REG                1,5       40992 1152921500312754199 /System/Library/UserEventPlugins/com.apple.time.plugin/Contents/MacOS/com.apple.time
UserEvent   468 dwywdo  txt       REG                1,5       38416 1152921500312649142 /System/Library/UserEventPlugins/com.apple.touchbar.matching.plugin/Contents/MacOS/com.apple.touchbar.matching
UserEvent   468 dwywdo  txt       REG                1,5       41328 1152921500312649262 /System/Library/UserEventPlugins/com.apple.universalaccess.events.plugin/Contents/MacOS/com.apple.universalaccess.events
UserEvent   468 dwywdo  txt       REG                1,5       34080 1152921500312648998 /System/Library/UserEventPlugins/com.apple.usernotificationcenter.matching.plugin/Contents/MacOS/com.apple.usernotificationcenter.matching
UserEvent   468 dwywdo  txt       REG                1,5       38320 1152921500312649061 /System/Library/UserEventPlugins/routined.events.plugin/Contents/MacOS/routined.events
UserEvent   468 dwywdo  txt       REG                1,5      240512            17600871 /private/var/db/timezone/tz/2021a.1.0/icutz/icutz44l.dat
UserEvent   468 dwywdo  txt       REG                1,5     1566832 1152921500312753938 /usr/lib/dyld
UserEvent   468 dwywdo    0r      CHR                3,2         0t0                 310 /dev/null
UserEvent   468 dwywdo    1u      CHR                3,2         0t0                 310 /dev/null
UserEvent   468 dwywdo    2u      CHR                3,2       0t263                 310 /dev/null
UserEvent   468 dwywdo    3u     unix 0xe986b85245380047         0t0                     ->0xe986b8524537ff7f
UserEvent   468 dwywdo    4u     unix 0xe986b852453808df         0t0                     ->0xe986b852453801d7
UserEvent   468 dwywdo    5u   KQUEUE                                                    count=0, state=0x8
UserEvent   468 dwywdo    6   NPOLICY                                                    
UserEvent   468 dwywdo    7r      DIR                1,5          64             1197658 /private/var/folders/2p/qtgvqtpn1ws1q4dpf0ghqg1r0000gp/0/com.apple.lockoutagent
UserEvent   468 dwywdo    8r      DIR                1,5        2272             1196668 /Users/dwywdo/Library
UserEvent   468 dwywdo    9r      DIR                1,5        2272             1196668 /Users/dwywdo/Library
UserEvent   468 dwywdo   10r      DIR                1,5        2560             1196661 /Users/dwywdo
UserEvent   468 dwywdo   11r      DIR                1,5         192               21304 /Users
UserEvent   468 dwywdo   12r      DIR                1,5         640 1152921500311879682 /System/Volumes/Data
UserEvent   468 dwywdo   13r      DIR                1,5          96 1152921500312309516 /System/Volumes
UserEvent   468 dwywdo   14r      DIR                1,5         256 1152921500311902560 /System
UserEvent   468 dwywdo   15u   KQUEUE                                                    count=0, state=0x8
UserEvent   468 dwywdo   16r      DIR                1,5          64              351492 /private/var/db/PanicReporter
UserEvent   468 dwywdo   17r      DIR                1,5        3104            20670555 /private/var/db
UserEvent   468 dwywdo   18r      DIR                1,5         864            20670554 /private/var
UserEvent   468 dwywdo   19r      DIR                1,5         192            20670553 /private
UserEvent   468 dwywdo   20r      DIR                1,5         640 1152921500311879682 /System/Volumes/Data
UserEvent   468 dwywdo   21r      DIR                1,5          96 1152921500312309516 /System/Volumes
UserEvent   468 dwywdo   22r      DIR                1,5         256 1152921500311902560 /System
UserEvent   468 dwywdo   23u   KQUEUE                                                    count=0, state=0x8
UserEvent   468 dwywdo   25r      DIR                1,5        2048             1196669 /Users/dwywdo/Library/Application Support
UserEvent   468 dwywdo   26r      DIR                1,5        2272             1196668 /Users/dwywdo/Library
UserEvent   468 dwywdo   27r      DIR                1,5        2560             1196661 /Users/dwywdo
UserEvent   468 dwywdo   28r      DIR                1,5         192               21304 /Users
UserEvent   468 dwywdo   29r      DIR                1,5         640 1152921500311879682 /System/Volumes/Data
UserEvent   468 dwywdo   30r      DIR                1,5          96 1152921500312309516 /System/Volumes
UserEvent   468 dwywdo   31r      DIR                1,5         256 1152921500311902560 /System
UserEvent   468 dwywdo   32u   KQUEUE                                                    count=0, state=0x8
UserEvent   468 dwywdo   33r      DIR                1,5         352            20691865 /private/tmp
UserEvent   468 dwywdo   34r      DIR                1,5        1184            20691857 /private/var/run
UserEvent   468 dwywdo   35r      DIR                1,5         864            20670554 /private/var
UserEvent   468 dwywdo   36r      DIR                1,5         192            20670553 /private
UserEvent   468 dwywdo   37r      DIR                1,5         640 1152921500311879682 /System/Volumes/Data
UserEvent   468 dwywdo   38r      DIR                1,5          96 1152921500312309516 /System/Volumes
UserEvent   468 dwywdo   39r      DIR                1,5         256 1152921500311902560 /System
UserEvent   468 dwywdo   40u   KQUEUE                                                    count=0, state=0x8
UserEvent   468 dwywdo   41r      DIR                1,5         448             1200753 /Users/dwywdo/Library/Caches/com.apple.appstoreagent
UserEvent   468 dwywdo   42r      DIR                1,5         448             1200753 /Users/dwywdo/Library/Caches/com.apple.appstoreagent
UserEvent   468 dwywdo   43r      DIR                1,5        4320             1196703 /Users/dwywdo/Library/Caches
UserEvent   468 dwywdo   44r      DIR                1,5        2272             1196668 /Users/dwywdo/Library
UserEvent   468 dwywdo   45r      DIR                1,5        2560             1196661 /Users/dwywdo
UserEvent   468 dwywdo   46r      DIR                1,5         192               21304 /Users
UserEvent   468 dwywdo   47r      DIR                1,5         640 1152921500311879682 /System/Volumes/Data
UserEvent   468 dwywdo   48r      DIR                1,5          96 1152921500312309516 /System/Volumes
UserEvent   468 dwywdo   49r      DIR                1,5         256 1152921500311902560 /System
UserEvent   468 dwywdo   50r      DIR                1,5         448             1200753 /Users/dwywdo/Library/Caches/com.apple.appstoreagent
UserEvent   468 dwywdo   51r      DIR                1,5         448             1200753 /Users/dwywdo/Library/Caches/com.apple.appstoreagent
UserEvent   468 dwywdo   52r      DIR                1,5        4320             1196703 /Users/dwywdo/Library/Caches
UserEvent   468 dwywdo   53r      DIR                1,5        2272             1196668 /Users/dwywdo/Library
UserEvent   468 dwywdo   54r      DIR                1,5        2560             1196661 /Users/dwywdo
UserEvent   468 dwywdo   55r      DIR                1,5         192               21304 /Users
UserEvent   468 dwywdo   56r      DIR                1,5         640 1152921500311879682 /System/Volumes/Data
UserEvent   468 dwywdo   57r      DIR                1,5          96 1152921500312309516 /System/Volumes
UserEvent   468 dwywdo   58r      DIR                1,5         256 1152921500311902560 /System
UserEvent   468 dwywdo   59r      DIR                1,5        2048             1196669 /Users/dwywdo/Library/Application Support
UserEvent   468 dwywdo   60r      DIR                1,5        2048             1196669 /Users/dwywdo/Library/Application Support
UserEvent   468 dwywdo   61r      DIR                1,5        2272             1196668 /Users/dwywdo/Library
UserEvent   468 dwywdo   62r      DIR                1,5        2560             1196661 /Users/dwywdo
UserEvent   468 dwywdo   63r      DIR                1,5         192               21304 /Users
UserEvent   468 dwywdo   64r      DIR                1,5         640 1152921500311879682 /System/Volumes/Data
UserEvent   468 dwywdo   65r      DIR                1,5          96 1152921500312309516 /System/Volumes
UserEvent   468 dwywdo   66r      DIR                1,5         256 1152921500311902560 /System
UserEvent   468 dwywdo   67u   KQUEUE                                                    count=0, state=0x8
UserEvent   468 dwywdo   68r      DIR                1,5        1792            20691867 /Applications
UserEvent   468 dwywdo   69r      DIR                1,5         640 1152921500311879682 /System/Volumes/Data
UserEvent   468 dwywdo   70r      DIR                1,5          96 1152921500312309516 /System/Volumes
UserEvent   468 dwywdo   71r      DIR                1,5         256 1152921500311902560 /System
UserEvent   468 dwywdo   72r      DIR                1,5         160            20694109 /Applications/Utilities
UserEvent   468 dwywdo   73r      DIR                1,5        1792            20691867 /Applications
UserEvent   468 dwywdo   74r      DIR                1,5         640 1152921500311879682 /System/Volumes/Data
UserEvent   468 dwywdo   75r      DIR                1,5          96 1152921500312309516 /System/Volumes
UserEvent   468 dwywdo   76r      DIR                1,5         256 1152921500311902560 /System
UserEvent   468 dwywdo   77u   KQUEUE                                                    count=0, state=0x8
UserEvent   468 dwywdo   78r      DIR                1,5        2048             1196669 /Users/dwywdo/Library/Application Support
UserEvent   468 dwywdo   79r      DIR                1,5         352            20691865 /private/tmp
UserEvent   468 dwywdo   80r      DIR                1,5         192            20670553 /private
UserEvent   468 dwywdo   81u   KQUEUE                                                    count=0, state=0x8
UserEvent   468 dwywdo   82r      DIR                1,5        2272             1196668 /Users/dwywdo/Library
UserEvent   468 dwywdo   83r      DIR                1,5        2272             1196668 /Users/dwywdo/Library
UserEvent   468 dwywdo   84r      DIR                1,5        2560             1196661 /Users/dwywdo
UserEvent   468 dwywdo   85r      DIR                1,5         192               21304 /Users
UserEvent   468 dwywdo   86r      DIR                1,5         640 1152921500311879682 /System/Volumes/Data
UserEvent   468 dwywdo   87r      DIR                1,5          96 1152921500312309516 /System/Volumes
UserEvent   468 dwywdo   88r      DIR                1,5         256 1152921500311902560 /System
UserEvent   468 dwywdo   89u   KQUEUE                                                    count=0, state=0x8
UserEvent   468 dwywdo   90r      DIR                1,5         512 1152921500312299334 /System/Library/ColorSync/Profiles
UserEvent   468 dwywdo   91r      DIR                1,5         160 1152921500312298705 /System/Library/ColorSync
UserEvent   468 dwywdo   92r      DIR                1,5        3744 1152921500311902684 /System/Library
UserEvent   468 dwywdo   93r      DIR                1,5         256 1152921500311902560 /System
UserEvent   468 dwywdo   94r      DIR                1,5         320            20682214 /Library/ColorSync/Profiles
UserEvent   468 dwywdo   95r      DIR                1,5         128            20682212 /Library/ColorSync
UserEvent   468 dwywdo   96r      DIR                1,5        2176            20670894 /Library
UserEvent   468 dwywdo   97r      DIR                1,5         640 1152921500311879682 /System/Volumes/Data
UserEvent   468 dwywdo   98r      DIR                1,5          96 1152921500312309516 /System/Volumes
UserEvent   468 dwywdo   99r      DIR                1,5         256 1152921500311902560 /System
UserEvent   468 dwywdo  100r      DIR                1,5        2272             1196668 /Users/dwywdo/Library
UserEvent   468 dwywdo  101r      DIR                1,5        2272             1196668 /Users/dwywdo/Library
UserEvent   468 dwywdo  102r      DIR                1,5        2560             1196661 /Users/dwywdo
UserEvent   468 dwywdo  103r      DIR                1,5         192               21304 /Users
UserEvent   468 dwywdo  104r      DIR                1,5         640 1152921500311879682 /System/Volumes/Data
UserEvent   468 dwywdo  105r      DIR                1,5          96 1152921500312309516 /System/Volumes
UserEvent   468 dwywdo  106r      DIR                1,5         256 1152921500311902560 /System
UserEvent   468 dwywdo  107u   KQUEUE                                                    count=0, state=0x8
UserEvent   468 dwywdo  108r      DIR                1,5          64             1196694 /Users/dwywdo/Library/Internet Plug-Ins
UserEvent   468 dwywdo  109r      DIR                1,5          64             1196694 /Users/dwywdo/Library/Internet Plug-Ins
UserEvent   468 dwywdo  110r      DIR                1,5        2272             1196668 /Users/dwywdo/Library
UserEvent   468 dwywdo  111r      DIR                1,5        2560             1196661 /Users/dwywdo
UserEvent   468 dwywdo  112r      DIR                1,5         192               21304 /Users
UserEvent   468 dwywdo  113r      DIR                1,5         640 1152921500311879682 /System/Volumes/Data
UserEvent   468 dwywdo  114r      DIR                1,5          96 1152921500312309516 /System/Volumes
UserEvent   468 dwywdo  115r      DIR                1,5         256 1152921500311902560 /System
UserEvent   468 dwywdo  116u   KQUEUE                                                    count=0, state=0x8
UserEvent   468 dwywdo  117r      DIR                1,5          64            20687612 /Library/Internet Plug-Ins
UserEvent   468 dwywdo  118r      DIR                1,5          64            20687612 /Library/Internet Plug-Ins
UserEvent   468 dwywdo  119r      DIR                1,5        2176            20670894 /Library
UserEvent   468 dwywdo  120r      DIR                1,5         640 1152921500311879682 /System/Volumes/Data
UserEvent   468 dwywdo  121r      DIR                1,5          96 1152921500312309516 /System/Volumes
UserEvent   468 dwywdo  122r      DIR                1,5         256 1152921500311902560 /System
UserEvent   468 dwywdo  123u   KQUEUE                                                    count=0, state=0x8
UserEvent   468 dwywdo  124r      DIR                1,5        8928             1197715 /Users/dwywdo/Library/Containers
UserEvent   468 dwywdo  125r      DIR                1,5        8928             1197715 /Users/dwywdo/Library/Containers
UserEvent   468 dwywdo  126r      DIR                1,5        2272             1196668 /Users/dwywdo/Library
UserEvent   468 dwywdo  127r      DIR                1,5        2560             1196661 /Users/dwywdo
UserEvent   468 dwywdo  128r      DIR                1,5         192               21304 /Users
UserEvent   468 dwywdo  129r      DIR                1,5         640 1152921500311879682 /System/Volumes/Data
UserEvent   468 dwywdo  130r      DIR                1,5          96 1152921500312309516 /System/Volumes
UserEvent   468 dwywdo  131r      DIR                1,5         256 1152921500311902560 /System
UserEvent   468 dwywdo  132u   KQUEUE                                                    count=0, state=0x8
UserEvent   468 dwywdo  133r      DIR                1,5        2272             1196668 /Users/dwywdo/Library
UserEvent   468 dwywdo  134r      DIR                1,5        2272             1196668 /Users/dwywdo/Library
UserEvent   468 dwywdo  135r      DIR                1,5        2560             1196661 /Users/dwywdo
UserEvent   468 dwywdo  136r      DIR                1,5         192               21304 /Users
UserEvent   468 dwywdo  137r      DIR                1,5         640 1152921500311879682 /System/Volumes/Data
UserEvent   468 dwywdo  138r      DIR                1,5          96 1152921500312309516 /System/Volumes
UserEvent   468 dwywdo  139r      DIR                1,5         256 1152921500311902560 /System
UserEvent   468 dwywdo  140u   KQUEUE                                                    count=0, state=0x8
UserEvent   468 dwywdo  141r      DIR                1,5          96                2198 /Library/Application Support/Apple/Remote Desktop
UserEvent   468 dwywdo  142r      DIR                1,5          96                2198 /Library/Application Support/Apple/Remote Desktop
UserEvent   468 dwywdo  143r      DIR                1,5         352            20672734 /Library/Application Support/Apple
UserEvent   468 dwywdo  144r      DIR                1,5         512            20672733 /Library/Application Support
UserEvent   468 dwywdo  145r      DIR                1,5        2176            20670894 /Library
UserEvent   468 dwywdo  146r      DIR                1,5         640 1152921500311879682 /System/Volumes/Data
UserEvent   468 dwywdo  147r      DIR                1,5          96 1152921500312309516 /System/Volumes
UserEvent   468 dwywdo  148r      DIR                1,5         256 1152921500311902560 /System
UserEvent   468 dwywdo  149u   KQUEUE                                                    count=0, state=0x8
UserEvent   468 dwywdo  150r      DIR                1,5         160             1201667 /Users/dwywdo/Library/studentd
UserEvent   468 dwywdo  151r      DIR                1,5         160             1201667 /Users/dwywdo/Library/studentd
UserEvent   468 dwywdo  152r      DIR                1,5        2272             1196668 /Users/dwywdo/Library
UserEvent   468 dwywdo  153r      DIR                1,5        2560             1196661 /Users/dwywdo
UserEvent   468 dwywdo  154r      DIR                1,5         192               21304 /Users
UserEvent   468 dwywdo  155r      DIR                1,5         640 1152921500311879682 /System/Volumes/Data
UserEvent   468 dwywdo  156r      DIR                1,5          96 1152921500312309516 /System/Volumes
UserEvent   468 dwywdo  157r      DIR                1,5         256 1152921500311902560 /System
UserEvent   468 dwywdo  158u   KQUEUE                                                    count=0, state=0x8
UserEvent   468 dwywdo  159r      DIR                1,5        1952             1199038 /Users/dwywdo/Library/Mobile Documents
UserEvent   468 dwywdo  160r      DIR                1,5        2272             1196668 /Users/dwywdo/Library
UserEvent   468 dwywdo  161r      DIR                1,5        2560             1196661 /Users/dwywdo
UserEvent   468 dwywdo  162r      DIR                1,5         192               21304 /Users
UserEvent   468 dwywdo  163r      DIR                1,5         640 1152921500311879682 /System/Volumes/Data
UserEvent   468 dwywdo  164r      DIR                1,5          96 1152921500312309516 /System/Volumes
UserEvent   468 dwywdo  165r      DIR                1,5         256 1152921500311902560 /System
UserEvent   468 dwywdo  166u   KQUEUE                                                    count=0, state=0x8
UserEvent   468 dwywdo  167r      DIR                1,5          96              566249 /Library/Services
UserEvent   468 dwywdo  168r      DIR                1,5        2176            20670894 /Library
UserEvent   468 dwywdo  169r      DIR                1,5         640 1152921500311879682 /System/Volumes/Data
UserEvent   468 dwywdo  170r      DIR                1,5          96 1152921500312309516 /System/Volumes
UserEvent   468 dwywdo  171r      DIR                1,5         256 1152921500311902560 /System
UserEvent   468 dwywdo  172u   KQUEUE                                                    count=0, state=0x8
UserEvent   468 dwywdo  173r      DIR                1,5          64             1196702 /Users/dwywdo/Library/Services
UserEvent   468 dwywdo  174r      DIR                1,5        2272             1196668 /Users/dwywdo/Library
UserEvent   468 dwywdo  175r      DIR                1,5        2560             1196661 /Users/dwywdo
UserEvent   468 dwywdo  176r      DIR                1,5         192               21304 /Users
UserEvent   468 dwywdo  177r      DIR                1,5         640 1152921500311879682 /System/Volumes/Data
UserEvent   468 dwywdo  178r      DIR                1,5          96 1152921500312309516 /System/Volumes
UserEvent   468 dwywdo  179r      DIR                1,5         256 1152921500311902560 /System
UserEvent   468 dwywdo  180u   KQUEUE                                                    count=0, state=0x8
UserEvent   468 dwywdo  181r      DIR                1,5        1184            20691857 /private/var/run
